アシッドジャズ,acid jazz
アコースティック,acoustic
アフロアメリカン,Afro-American
アフロキューバン,Afro-Cuban
アフロビート,Afrobeat
アルバム,album
アルバムチャート,album chart
アルトサックス,alto saxophone
アンビエント,ambient
アメリカツアー,American tour
アポロ,Apollo
アレンジ,arrangement
アレンジャー,arranger
アーティスト,artist
アヴァンギャルド,avant garde
バラード,ballad
バンド,band
バンドリーダー,band leader
バロック,Baroque
ベース,bass
ベーシスト,bassist
ビート,beat
ビバップ,bebop
ビッグバンド,big band
ブラックミュージック,Black music
ブルーノート,Blue Note
ブルース,blues
ブルージー,bluesy
ブーム,boom
バップ,bop
ボサノヴァ,bossa nova
バウンス,bounce
ブラスバンド,brass band
ブロードキャスター,broadcaster
コールアンドレスポンス,call-and-response
カリプソ,calypso
キャッチー,catchy
カテゴリ,category
ケルト,Celtic
チェンバー,chamber
チャンス,chance
キャラクターソング,character song
チャート,chart
クラリネット,clarinet
クラシック,classic
クラブ,club
コラボ,collab(oration)
コラボレーション,collaboration
コレクション,collection
コムビネーション,combination
コンビ,combi(nation)
コンボ,combo
コンピレーション,compilation
コンポーネントステレオ,component stereo
コンサート,concert
コンサートホール,concert hall
コンテンポラリー,contemporary
コントラダンツァ,contradanza
コントラファクト,contrafact
クロスオーバー,crossover
ダンス,dance
ダンスバンド,dance band
ダンスホール,dance hall
デビュー,debut
デシベル,decibel
デザイン,design
デジタルオーディオプレーヤー,digital audio player
ディスコ,disco
ディスク,disk
ディキシーランド,Dixieland
ドゥーワップ,doo-wop
コントラバス,double bass
ドラム,drum
ドラムンベース,drum-and-bass
ドラマー,drummer
ドラムス,drums
イージーリスニング,easy listening
エレクトリックギター,electric guitar
エレクトロニック,electronic
エンジニア,engineer
エンターテイナー,entertainer
ユーロビート,Eurobeat
ユーロダンス,Eurodance
ユーロポップ,Europop
エクスペリメンタル,experimental
ファン,fan
フィーリング,feeling
フェスティバル,festival
フルート,flute
フォークソング,folk song
フォーマット,format
フリージャズ,free jazz
ファンク,funk
ファンキー,funky
フューチャーポップ,future pop
ゲームミュージック,game music
ジャンル,genre
グラムロック,glam rock
ゴールド,gold
ゴールドディスク,gold disc
ゴスペル,gospel
グラミー,Grammy
グルーヴ,groove
グループ,group
グランジ,grunge
ギター,guitar
ギタリスト,guitarist
ハモンドオルガン,Hammond organ
ハードロック,hard rock
ハードコア,hardcore
ハーモニー,harmony
ハープ,harp
ハーピスト,harpist
ヘヴィメタル,heavy metal
ハイライト,highlights
ヒップホップ,hip-hop
ヒット,hit
ヒットチャート,hit chart
アイコン,icon
アイディア,idea
イディオム,idiom
イメージ,image
イミテーション,imitation
インプロヴィゼーション,improvisation
インパルス,impulse
ジャケットデザイン,jacket design
ジャムセッション,jam session
ジャパノイズ,Japan noise
ジャズ,jazz
ジャズアルバム,jazz album
ジャズアーティスト,jazz artist
ジャズバンド,jazz band
ジャズバー,jazz bar
ジャズベース,jazz bass
ジャズクラブ,jazz club
ジャズドラム,jazz drums
ジャズフェスティバル,jazz festival
ジャズライブラリー,jazz library
ジャズミュージシャン,jazz musician
ジャズオーケストラ,jazz orchestra
ジャズピアニスト,jazz pianist
ジャズピアノ,jazz piano
ジャズレコード,jazz records
ジャズシンガー,jazz singer
ジャズソング,jazz song
ジャズスタジオ,jazz studio
ジャズトロンボーン,jazz trombone
ジャズメン,jazzmen
ジャジー,jazzy
ジャイヴ,jive
ジュリアード,Juilliard
ジャンプブルース,jump blues
ジャングル,jungle
レーベル,label
ラテンジャズ,Latin jazz
リーダー,leader
レッスン,lesson
ライセンス,license
リスナー,listener
ライブ,live
ライブアルバム,live album
ラウンジ,lounge
リリカル,lyrical
メインストリーム,mainstream
メジャー,major
マンボ,mambo
マーチングバンド,marching band
マリンバ,marimba
マーケット,market
マスタリング,mastering
メディア,media
ミディアム,medium
メロディ,melody
マーチャント,merchant
メッセージ,message
メタル,metal
マイクロジャンル,microgenre
マイナー,minor
モーダル,modal
モダン,modern
ミュージック,music
ミュージックエンタテインメント,music entertainment
ミュージカル,musical
ミュージシャン,musician
ネオバップ,neo-bop
ニュージャズ,new jazz
ニューオーリンズジャズ,New Orleans jazz
ニューエイジ,new-age
ニューポートジャズフェスティバル,Newport Jazz Festival
ナイトクラブ,night club
ノイズポップ,noise pop
ナンバー,number
オープナー,opener
オープニング,opening
オーケストラ,orchestra
オルガン,organ
オルガニスト,organist
オリジナル,original
パロディ,parody
パートナー,partner
パーカッション,percussion
パーカッショニスト,percussionist
パフォーマンス,performance
フェーズ,phase
フィルハーモニック,philharmonic
フォノグラム,phonogram
ピアニスト,pianist
ピアノ,piano
プレイ,play
プレイヤー,player
プレイハウス,playhouse
ポエトリー,poetry
ポリフォニック,polyphonic
ポリリズム,polyrhythm
ポップ,pop
ポピュラー,popular
プロデュース,produce
プロデューサー,producer
プロダクション,production
プロ,professional
プロジェクト,project
サイケデリック,psychedelic
パンク,punk
カルテット,quartet
ラジオ,radio
ラグタイム,ragtime
レコード,record
レコードレーベル,record label
レコーディング,recording
レコーディングスタジオ,recording studio
レゲエ,reggae
レギューラ,regular
リイシュー,reissue
リミックス,remix
レビュー,review
リズム,rhythm
リズムセクション,rhythm section
リズミック,rhythmic
リフ,riff
ロックンロール,rock and roll
ロックフェスティバル,rock festival
ルーツ,roots
サロン,salon
サンバ,samba
サンプリング,sampling
サックス,sax
サクソフォーン,saxophone
スキャット,scat
シーン,scene
セクション,section
シリーズ,series
セッション,session
サイドメン,sidemen
シンガー,singer
シングル,single
スカ,ska
スキップ,skip
スロー,slow
スムーズジャズ,smooth jazz
ソルフェージュ,solfège
ソロ,solo
ソング,song
ソウル,soul
サウンド,sound
サウンドデザイナー,sound designer
サウンドトラック,soundtrack
スペシャルゲスト,special guest
スピリチュアル,spiritual
スタンダードナンバー,standard number
スタート,start
ステップス,steps
ストレート,straight
ストライキ,strike
スタジオ,studio
スタイル,style
サブジャンル,subgenre
サブセクション,subsection
サブタイトル,subtitle
スイート,suite
スウィング,swing
スウィングバンド,swing band
シンフォニック,symphonic
シンコペーション,syncopation
シンセポップ,synth-pop
トーキー,talkie
タンゴ,tango
テープ,tape
テクノ,techno
テンポ,tempo
テナーサックス,tenor saxophone
テーマ,theme
タイトル,title
タッチ,touch
ツアー,tour
トラディショナル,traditional
トランス,transformer
トリオ,trio
トロンボーン,trombone
トランペット,trumpet
トランペッター,trumpeter
ユニーク,unique
ユニバーサル,universal
アップ,up
ヴァイブ,vibe
ヴィブラフォン,vibraphone
ヴァイオリン,violin
ヴァイオリニスト,violinist
ヴォーカル,vocal
ヴォーカリスト,vocalist
ワルツ,waltz
ワールドチャート,world chart
ワールドミュージック,world music
ワールドビート,worldbeat
ライター,writer
イヤー,year